1.074756 0.577676 0.423239 0.332450 0.301917 0.274234 0.253948 0.238677 0.224428 0.221068 0.220662 0.132010 
1.073106 0.584954 0.422906 0.339642 0.301358 0.266804 0.253001 0.239285 0.226355 0.225435 0.216343 0.132550 
1.072876 0.585603 0.421812 0.339727 0.302164 0.267819 0.252031 0.239361 0.228465 0.227133 0.212811 0.132635 
1.074344 0.583886 0.425336 0.342535 0.299593 0.268271 0.248981 0.241013 0.227153 0.224738 0.215114 0.132694 
1.074922 0.584963 0.421943 0.340681 0.300210 0.266227 0.250329 0.240714 0.228399 0.224438 0.217013 0.132579 
1.078595 0.587803 0.426506 0.341137 0.302312 0.263441 0.249004 0.236891 0.227919 0.224560 0.217054 0.133059 
1.079999 0.587543 0.425847 0.339680 0.300486 0.266322 0.248019 0.234330 0.226006 0.223023 0.222099 0.132878 
1.074392 0.587233 0.424293 0.339226 0.301984 0.265550 0.247767 0.240011 0.224671 0.228002 0.215317 0.132481 
1.072464 0.587740 0.419491 0.340672 0.302284 0.264282 0.250929 0.240433 0.226408 0.226691 0.215265 0.132366 
1.074338 0.585939 0.418966 0.341751 0.300857 0.265649 0.253808 0.237408 0.229242 0.225177 0.216791 0.132611 
1.075125 0.584524 0.421345 0.343890 0.300023 0.265998 0.251340 0.239368 0.228957 0.226076 0.215430 0.132793 
1.069940 0.586443 0.422013 0.339978 0.302367 0.267654 0.254449 0.237239 0.228539 0.224919 0.215956 0.132608 
1.073108 0.585801 0.420748 0.340900 0.298773 0.270745 0.249747 0.240758 0.228495 0.222471 0.218349 0.132574 
1.074011 0.583663 0.424164 0.337529 0.304171 0.264590 0.254624 0.237458 0.228546 0.227052 0.214900 0.132712 
1.070460 0.583596 0.422461 0.340888 0.301780 0.266556 0.252622 0.239287 0.227804 0.226241 0.215819 0.132413 
1.073696 0.585020 0.421093 0.342227 0.301009 0.266591 0.252464 0.238289 0.229121 0.223505 0.217452 0.132645 
